name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J115938.4+292056,VERONCAT,AGN,7.253303049129759,CXO J11596+2920  ,0,0,0,179.91039054778446,29.349026364880878,0.4558794830815272,0.35384615384615387,0,0,0,179.9104,29.3489
2CXO J210748.2-062154,VERONCAT,AGN,7.030700302240247,SDSS J21078-0621 ,0,0,0,316.95123303469603,-6.365107734797332,0.4558803154851298,0.2923076923076923,0,0,0,316.9513,-6.365
2CXO J215236.9+471659,SKIFF,STAR,4.18749999999999,[HD2002] Star 551          ,0,0,0,328.1538853269456,47.28318070987925,0.4560859711700439,0.36923076923076925,0,0,0,328.1539167,47.28330560000001
2CXO J111154.1-611450,SPICY,YSO,5.648169071650343,9818,0,0,0,167.97569592837476,-61.24744079295153,0.4560986544063246,0.24615384615384617,0,0,0,167.975572,-61.247329
2CXO J124824.4-054558,ULXRBCAT,ULX,33.32587142775613,NGC 4697 ULX1        ,0,0,0,192.10195284565768,-5.7661259833197365,0.4563001194452891,0.3384615384615385,0,0,0,192.101833,-5.766083
2CXO J102229.3+192939,VERONCAT,AGN,3.352941176470628,FIRST J10224+1929,0,0,0,155.62236765876102,19.49417742412664,0.4564117976380231,0.2923076923076923,0,0,0,155.6225,19.4942
2CXO J162719.5-244140,SKIFF,STAR,80.79922557091129,EM* SR 12                  ,1,0,0,246.83134096326103,-24.69467421806528,0.4564130611610823,0.3076923076923077,0,0,0,246.8312917,-24.6945556
2CXO J030446.3+034947,VERONCAT,AGN,8.229911166201832,CXO J03047+0349  ,0,0,0,46.19302164885681,3.8299631833282484,0.456616900756389,0.36923076923076925,0,0,0,46.1929,3.83
2CXO J180444.1-241438,SKIFF,STAR,6.797476144332857,Cl* NGC 6530 WFI 33939     ,1,0,0,271.1837631522424,-24.243984829935275,0.4566177323596477,0.4153846153846154,0,0,0,271.18375,-24.2441111
2CXO J121540.0+361840,simbad,HMXB,3.4705882352942363,CXO J121540.0+361841               ,0,0,0,183.91669564820702,36.31129022297245,0.4566822888486402,0.4461538461538462,0,0,0,183.91670833333333,36.311416666666666
2CXO J110610.7+640009,VERONCAT,AGN,9.842236050252273,HS 1103+6416     ,0,0,0,166.5447303169731,64.00261329165143,0.4567592587531656,0.36923076923076925,0,0,0,166.5446,64.0025
